Covered Calls - OptionsPlay,,,,,,,,,,,,,,
Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
MU,Sell to Open,12/19/2025,46,320.00  $,4.69  $,4.55  $,4.85  $,54%,12/17/2025,Y,236.48  $,2%,16%,35%
APP,Sell to Open,12/19/2025,46,850.00  $,12.40  $,11.50  $,13.30  $,38%,11/05/2025,Y,632.31  $,2%,16%,34%
ARM,Sell to Open,12/19/2025,46,220.00  $,3.25  $,3.10  $,3.40  $,56%,,N,171.18  $,1.9%,15%,29%
SOFI,Sell to Open,12/19/2025,46,41.00  $,0.56  $,0.55  $,0.58  $,24%,01/26/2026,N,30.81  $,2%,15%,33%
KGC,Sell to Open,12/19/2025,46,29.00  $,0.42  $,0.31  $,0.54  $,69%,11/04/2025,Y,23.22  $,2%,15%,25%
MSTR,Sell to Open,12/19/2025,46,355.00  $,4.75  $,4.60  $,4.90  $,9%,02/05/2026,N,265.65  $,2%,14%,34%
COIN,Sell to Open,12/19/2025,46,440.00  $,5.70  $,5.50  $,5.90  $,25%,02/19/2026,N,330.50  $,2%,14%,33%
MRVL,Sell to Open,12/19/2025,46,125.00  $,1.57  $,1.45  $,1.70  $,47%,12/04/2025,Y,91.51  $,2%,14%,36.6%
TSLA,Sell to Open,12/19/2025,46,595.00  $,8.07  $,8.00  $,8.15  $,20%,01/28/2026,N,468.77  $,2%,14%,27%
ZS,Sell to Open,12/19/2025,46,400.00  $,5.72  $,5.45  $,6.00  $,31%,12/02/2025,Y,334.80  $,2%,14%,19%
AIG,Sell to Open,12/19/2025,46,85.00  $,1.32  $,0.95  $,1.70  $,45%,11/04/2025,Y,78.90  $,2%,13%,8%
VST,Sell to Open,12/19/2025,46,250.00  $,3.26  $,2.98  $,3.55  $,29%,11/06/2025,Y,194.76  $,2%,13.3%,28%
INTC,Sell to Open,12/19/2025,46,55.00  $,0.64  $,0.59  $,0.71  $,35%,01/29/2026,N,39.57  $,2%,13%,39%
LULU,Sell to Open,12/19/2025,46,220.00  $,2.69  $,2.59  $,2.80  $,32%,12/11/2025,Y,164.95  $,2%,13%,33%
ETSY,Sell to Open,12/19/2025,46,75.00  $,1.00  $,0.96  $,1.04  $,24%,02/18/2026,N,61.96  $,2%,13%,21%
NVO,Sell to Open,12/19/2025,46,65.00  $,0.79  $,0.76  $,0.82  $,73%,,N,49.04  $,2%,13%,33%
ETSY,Sell to Open,12/19/2025,46,75.00  $,1.00  $,0.96  $,1.04  $,24%,02/18/2026,N,61.96  $,2%,13%,21%
AVGO,Sell to Open,12/19/2025,46,450.00  $,5.82  $,5.70  $,5.95  $,30%,12/11/2025,Y,365.19  $,1.6%,13%,23%
LVS,Sell to Open,12/19/2025,46,67.50  $,0.98  $,0.92  $,1.05  $,17%,01/28/2026,N,61.40  $,1.6%,13%,10%
PLTR,Sell to Open,12/19/2025,46,270.00  $,3.20  $,3.10  $,3.30  $,40%,11/03/2025,Y,205.06  $,2%,12%,32%
ORCL,Sell to Open,12/19/2025,46,330.00  $,4.00  $,3.90  $,4.10  $,54%,12/08/2025,Y,258.70  $,2%,12%,28%
CCL,Sell to Open,12/19/2025,46,34.00  $,0.43  $,0.41  $,0.47  $,14%,12/18/2025,Y,28.59  $,2%,12%,19%
NTAP,Sell to Open,12/19/2025,46,135.00  $,1.79  $,1.55  $,2.05  $,43%,11/25/2025,Y,117.37  $,2%,12%,15%
JD,Sell to Open,12/19/2025,46,41.00  $,0.50  $,0.45  $,0.55  $,44%,,N,32.66  $,2%,12%,26%
LRCX,Sell to Open,12/19/2025,46,195.00  $,2.46  $,2.27  $,2.65  $,38%,01/28/2026,N,161.39  $,2%,12%,21%
PAAS,Sell to Open,12/19/2025,46,44.00  $,0.52  $,0.40  $,0.65  $,53%,11/12/2025,Y,34.62  $,2%,12%,27%
CEG,Sell to Open,12/19/2025,46,480.00  $,5.65  $,4.40  $,6.90  $,37%,11/07/2025,Y,378.84  $,1%,12%,26.7%
CRWD,Sell to Open,12/19/2025,46,670.00  $,8.15  $,6.70  $,9.60  $,32%,11/25/2025,Y,551.96  $,1%,12%,21%
BIDU,Sell to Open,12/19/2025,46,155.00  $,1.79  $,1.69  $,1.89  $,67%,,N,121.61  $,1%,12%,27%
HPE,Sell to Open,12/19/2025,46,29.00  $,0.36  $,0.33  $,0.39  $,30%,12/04/2025,Y,24.58  $,1%,12%,18%
SU,Sell to Open,12/19/2025,46,42.00  $,0.57  $,0.50  $,0.65  $,34%,11/04/2025,Y,39.65  $,1%,12%,6%
BABA,Sell to Open,12/19/2025,46,210.00  $,2.42  $,1.39  $,3.45  $,50%,,N,168.11  $,1%,11%,25%
CPB,Sell to Open,12/19/2025,46,33.00  $,0.42  $,0.35  $,0.50  $,36%,12/02/2025,Y,29.79  $,1%,11%,11%
SNPS,Sell to Open,12/19/2025,46,540.00  $,6.19  $,4.20  $,8.20  $,33%,12/10/2025,Y,444.89  $,1%,11%,21%
FCX,Sell to Open,12/19/2025,46,48.00  $,0.56  $,0.53  $,0.60  $,23%,01/22/2026,N,41.16  $,1%,11%,17%
ADBE,Sell to Open,12/19/2025,46,410.00  $,4.55  $,4.35  $,4.75  $,28%,12/10/2025,Y,337.04  $,1%,11%,22%
DOW,Sell to Open,12/19/2025,46,27.50  $,0.31  $,0.29  $,0.33  $,48%,01/29/2026,N,23.18  $,1%,11%,19%
IBIT,Sell to Open,12/19/2025,46,74.00  $,0.82  $,0.81  $,0.83  $,34%,,N,60.97  $,1%,11%,21%
NVDA,Sell to Open,12/19/2025,46,250.00  $,2.83  $,2.82  $,2.85  $,36%,11/19/2025,Y,211.03  $,1%,11%,18%
ZM,Sell to Open,12/19/2025,46,100.00  $,1.13  $,0.87  $,1.41  $,50%,11/24/2025,Y,85.73  $,1%,11%,17%
CRH,Sell to Open,12/19/2025,46,135.00  $,1.57  $,0.60  $,2.55  $,3%,11/05/2025,Y,118.12  $,1%,11%,14%
QCOM,Sell to Open,12/19/2025,46,210.00  $,2.34  $,2.29  $,2.40  $,40%,11/05/2025,Y,179.50  $,1%,10%,17%
NEM,Sell to Open,12/19/2025,46,95.00  $,1.06  $,1.01  $,1.11  $,48%,02/19/2026,N,81.15  $,1%,10%,17%
CNC,Sell to Open,12/19/2025,46,42.50  $,0.45  $,0.40  $,0.50  $,34%,02/03/2026,N,34.30  $,1%,10%,24%
DB,Sell to Open,12/19/2025,46,40.00  $,0.47  $,0.45  $,0.50  $,24%,01/29/2026,N,36.26  $,1%,10%,10.3%
SE,Sell to Open,12/19/2025,46,200.00  $,2.04  $,1.90  $,2.20  $,66%,,N,157.65  $,1.3%,10%,27%
KKR,Sell to Open,12/19/2025,46,135.00  $,1.52  $,1.45  $,1.60  $,25%,11/07/2025,Y,117.00  $,1.3%,10%,15%
SPOT,Sell to Open,12/19/2025,46,780.00  $,8.30  $,7.30  $,9.30  $,47%,11/04/2025,Y,644.15  $,1%,10%,21%
TTWO,Sell to Open,12/19/2025,46,300.00  $,3.20  $,2.60  $,3.80  $,90%,11/06/2025,Y,253.20  $,1%,10%,18%
IBKR,Sell to Open,12/19/2025,46,85.00  $,0.89  $,0.65  $,1.15  $,23%,01/20/2026,N,72.72  $,1%,10%,17%
TLH,Sell to Open,12/19/2025,46,106.00  $,1.27  $,0.00  $,2.55  $,1%,,N,103.14  $,1%,10%,3%
PYPL,Sell to Open,12/19/2025,46,80.00  $,0.84  $,0.82  $,0.87  $,27%,02/03/2026,N,68.70  $,1%,10%,16%
KLAC,Sell to Open,12/19/2025,46,"1,460.00  $",14.70  $,11.40  $,18.00  $,31%,01/29/2026,N,"1,219.02  $",1%,10%,20%
AEM,Sell to Open,12/19/2025,46,190.00  $,1.95  $,1.80  $,2.10  $,43%,02/12/2026,N,161.12  $,1%,9.6%,18%
BSX,Sell to Open,12/19/2025,46,105.00  $,1.20  $,1.10  $,1.30  $,12%,02/04/2026,N,98.92  $,1%,10%,6%
NXPI,Sell to Open,12/19/2025,46,240.00  $,2.47  $,2.30  $,2.65  $,21%,02/02/2026,N,209.03  $,1%,9.4%,15%
ACN,Sell to Open,12/19/2025,46,285.00  $,2.90  $,2.70  $,3.10  $,49%,12/18/2025,Y,246.41  $,1%,9%,16%
NUE,Sell to Open,12/19/2025,46,170.00  $,1.72  $,0.60  $,2.85  $,20%,01/26/2026,N,147.29  $,1%,9%,15%
ASML,Sell to Open,12/19/2025,46,"1,240.00  $",12.45  $,12.10  $,12.80  $,26%,,N,"1,069.99  $",1%,9%,16%
FICO,Sell to Open,12/19/2025,46,"1,940.00  $",19.00  $,10.00  $,28.00  $,57%,11/05/2025,Y,"1,638.00  $",1%,9.2%,18%
B,Sell to Open,12/19/2025,46,40.00  $,0.38  $,0.31  $,0.45  $,89%,11/10/2025,Y,32.88  $,1%,9%,22%
PGR,Sell to Open,12/19/2025,46,225.00  $,2.32  $,1.25  $,3.40  $,23%,01/28/2026,N,201.77  $,1%,9%,12%
WMT,Sell to Open,12/19/2025,46,110.00  $,1.16  $,1.12  $,1.20  $,41%,11/20/2025,Y,100.97  $,1%,9%,9%
GDXJ,Sell to Open,12/19/2025,46,110.00  $,1.05  $,0.88  $,1.23  $,55%,,N,91.54  $,1%,9%,20%
NKE,Sell to Open,12/19/2025,46,75.00  $,0.72  $,0.69  $,0.75  $,27%,12/18/2025,Y,62.98  $,1%,9%,19%
CRM,Sell to Open,12/19/2025,46,310.00  $,2.93  $,2.81  $,3.05  $,37%,12/02/2025,Y,259.38  $,1%,9%,20%
ETN,Sell to Open,12/19/2025,46,430.00  $,4.30  $,3.90  $,4.70  $,35%,11/04/2025,Y,384.41  $,1%,9%,12%
GDX,Sell to Open,12/19/2025,46,83.00  $,0.78  $,0.72  $,0.85  $,42%,,N,70.97  $,1%,9%,17%
SBUX,Sell to Open,12/19/2025,46,90.00  $,0.90  $,0.89  $,0.92  $,23%,01/27/2026,N,81.18  $,1%,9%,11%
PHM,Sell to Open,12/19/2025,46,135.00  $,1.30  $,1.05  $,1.55  $,15%,01/29/2026,N,118.36  $,1.1%,9%,14%
NOW,Sell to Open,12/19/2025,46,"1,040.00  $",9.94  $,9.50  $,10.40  $,25%,01/28/2026,N,905.54  $,1.1%,9%,15%
UNH,Sell to Open,12/19/2025,46,380.00  $,3.62  $,3.50  $,3.75  $,26%,01/15/2026,N,331.72  $,1%,9%,15%
LLY,Sell to Open,12/19/2025,46,"1,020.00  $",9.60  $,9.05  $,10.15  $,17%,02/05/2026,N,892.03  $,1%,9%,14%
ARGX,Sell to Open,12/19/2025,46,930.00  $,8.80  $,6.60  $,11.00  $,53%,,N,820.86  $,1%,9%,13.3%
GM,Sell to Open,12/19/2025,46,75.00  $,0.73  $,0.71  $,0.75  $,5%,01/27/2026,N,68.33  $,1%,8%,10%
TMF,Sell to Open,12/19/2025,46,47.00  $,0.43  $,0.40  $,0.47  $,0%,,N,40.90  $,1%,8%,15%
EME,Sell to Open,12/19/2025,46,780.00  $,7.15  $,5.60  $,8.70  $,29%,02/25/2026,N,678.25  $,1%,8%,15%
VLO,Sell to Open,12/19/2025,46,190.00  $,1.78  $,1.67  $,1.90  $,11%,01/29/2026,N,169.89  $,1%,8%,12%
DAL,Sell to Open,12/19/2025,46,70.00  $,0.61  $,0.56  $,0.67  $,19%,01/09/2026,N,58.40  $,1%,8%,20%
CW,Sell to Open,12/19/2025,46,680.00  $,6.30  $,4.10  $,8.50  $,54%,11/05/2025,Y,600.58  $,1%,8%,13%
CDNS,Sell to Open,12/19/2025,46,385.00  $,3.50  $,1.80  $,5.20  $,21%,02/17/2026,N,334.86  $,1%,8%,15%
TGT,Sell to Open,12/19/2025,46,110.00  $,0.96  $,0.92  $,1.00  $,68%,11/19/2025,Y,91.24  $,1%,8%,21%
BMY,Sell to Open,12/19/2025,46,52.50  $,0.48  $,0.42  $,0.55  $,32%,02/05/2026,N,46.26  $,1%,8%,13%
META,Sell to Open,12/19/2025,46,750.00  $,6.72  $,6.65  $,6.80  $,27%,01/28/2026,N,644.08  $,1%,8%,16%
WPM,Sell to Open,12/19/2025,46,115.00  $,1.00  $,0.90  $,1.10  $,63%,11/06/2025,Y,96.31  $,1%,8%,19%
RCL,Sell to Open,12/19/2025,46,330.00  $,2.88  $,2.42  $,3.35  $,15%,01/27/2026,N,280.54  $,1%,8%,18%
NFLX,Sell to Open,12/19/2025,46,"1,240.00  $",11.30  $,10.95  $,11.65  $,43%,01/20/2026,N,"1,092.22  $",1%,8%,14%
TMV,Sell to Open,12/19/2025,46,39.00  $,0.35  $,0.30  $,0.40  $,3%,,N,34.42  $,1%,8%,13%
ABBV,Sell to Open,12/19/2025,46,230.00  $,2.15  $,2.05  $,2.25  $,15%,02/06/2026,N,213.59  $,1%,8%,8%
TSM,Sell to Open,12/19/2025,46,360.00  $,3.12  $,3.00  $,3.25  $,21%,,N,308.18  $,1%,8%,17%
LNG,Sell to Open,12/19/2025,46,230.00  $,2.12  $,2.00  $,2.25  $,24%,02/19/2026,N,209.58  $,1%,8%,10%
BA,Sell to Open,12/19/2025,46,230.00  $,2.03  $,1.96  $,2.11  $,7%,01/28/2026,N,204.22  $,1%,8%,13%
USO,Sell to Open,12/19/2025,46,83.00  $,0.73  $,0.70  $,0.76  $,17%,,N,72.94  $,1%,8%,14%
EQT,Sell to Open,12/19/2025,46,65.00  $,0.55  $,0.48  $,0.62  $,21%,02/17/2026,N,55.12  $,1%,8%,18%
ULTA,Sell to Open,12/19/2025,46,605.00  $,5.17  $,2.55  $,7.80  $,16%,12/04/2025,Y,517.02  $,1%,8%,17%
SLV,Sell to Open,12/19/2025,46,51.00  $,0.44  $,0.43  $,0.45  $,35%,,N,43.84  $,1%,8%,16%
PSX,Sell to Open,12/19/2025,46,150.00  $,1.37  $,1.20  $,1.55  $,27%,01/30/2026,N,136.88  $,1%,8%,10%
ISRG,Sell to Open,12/19/2025,46,595.00  $,5.35  $,3.90  $,6.80  $,20%,01/22/2026,N,540.40  $,1%,8%,10.1%
GOOGL,Sell to Open,12/19/2025,46,320.00  $,2.76  $,2.74  $,2.79  $,32%,02/03/2026,N,282.38  $,1%,8%,13%
PDD,Sell to Open,12/19/2025,46,160.00  $,1.32  $,1.21  $,1.44  $,18%,,N,135.12  $,1%,8%,18%
GOOG,Sell to Open,12/19/2025,46,320.00  $,2.75  $,2.73  $,2.78  $,34%,02/03/2026,N,282.81  $,1%,8%,13%
CVS,Sell to Open,12/19/2025,46,87.50  $,0.76  $,0.73  $,0.79  $,12%,02/11/2026,N,78.20  $,1%,8%,12%
FDX,Sell to Open,12/19/2025,46,290.00  $,2.45  $,2.22  $,2.69  $,15%,12/18/2025,Y,254.20  $,1%,8%,14%
PWR,Sell to Open,12/19/2025,46,530.00  $,4.34  $,3.30  $,5.40  $,26%,02/19/2026,N,452.52  $,1%,8%,17%
ASHR,Sell to Open,12/19/2025,46,35.00  $,0.31  $,0.27  $,0.36  $,14%,,N,33.01  $,1%,8%,6%
AMZN,Sell to Open,12/19/2025,46,290.00  $,2.40  $,2.39  $,2.42  $,22%,02/05/2026,N,256.82  $,1%,7%,13%
STZ,Sell to Open,12/19/2025,46,150.00  $,1.22  $,1.05  $,1.40  $,41%,01/08/2026,N,130.14  $,1%,7%,15%
TXRH,Sell to Open,12/19/2025,46,185.00  $,1.50  $,1.00  $,2.00  $,45%,11/06/2025,Y,160.70  $,1%,7%,15%
RACE,Sell to Open,12/19/2025,46,450.00  $,3.65  $,3.50  $,3.80  $,39%,11/04/2025,Y,391.83  $,1%,7%,15%
FXI,Sell to Open,12/19/2025,46,43.00  $,0.37  $,0.35  $,0.39  $,7%,,N,39.84  $,1%,7%,8%
NEE,Sell to Open,12/19/2025,46,90.00  $,0.76  $,0.72  $,0.80  $,18%,01/23/2026,N,81.74  $,1%,7%,10%
INTU,Sell to Open,12/19/2025,46,760.00  $,6.00  $,3.50  $,8.50  $,62%,11/20/2025,Y,669.77  $,0.9%,7%,13%
AZO,Sell to Open,12/19/2025,46,"4,000.00  $",31.25  $,29.00  $,33.50  $,50%,12/09/2025,Y,"3,528.33  $",1%,7%,13%
XHB,Sell to Open,12/19/2025,46,115.00  $,0.92  $,0.83  $,1.01  $,7%,,N,103.29  $,1%,7%,11%
KWEB,Sell to Open,12/19/2025,46,46.00  $,0.35  $,0.32  $,0.39  $,6%,,N,39.96  $,1%,7%,15%
DHI,Sell to Open,12/19/2025,46,170.00  $,1.27  $,1.15  $,1.40  $,19%,01/20/2026,N,145.71  $,1%,7%,17%
WFC,Sell to Open,12/19/2025,46,95.00  $,0.77  $,0.74  $,0.80  $,14%,01/14/2026,N,87.42  $,1%,7%,9%
BAC,Sell to Open,12/19/2025,46,57.50  $,0.47  $,0.45  $,0.49  $,19%,01/14/2026,N,53.22  $,1%,7%,8%
FEZ,Sell to Open,12/19/2025,46,65.00  $,0.55  $,0.40  $,0.70  $,11%,,N,62.66  $,1%,7%,4%
URI,Sell to Open,12/19/2025,46,980.00  $,7.50  $,4.00  $,11.00  $,13%,01/28/2026,N,861.30  $,1%,7%,14%
GSK,Sell to Open,12/19/2025,46,50.00  $,0.40  $,0.35  $,0.45  $,16%,,N,46.34  $,1%,7%,7.9%
SLB,Sell to Open,12/19/2025,46,42.50  $,0.32  $,0.30  $,0.34  $,12%,01/16/2026,N,37.05  $,1%,7%,15%
SMH,Sell to Open,12/19/2025,46,420.00  $,3.07  $,3.00  $,3.15  $,23%,,N,368.13  $,1%,7%,14%
HSBC,Sell to Open,12/19/2025,46,75.00  $,0.57  $,0.30  $,0.85  $,18%,,N,70.42  $,1%,6%,6.5%
COST,Sell to Open,12/19/2025,46,"1,010.00  $",7.52  $,7.15  $,7.90  $,16%,12/11/2025,Y,919.55  $,1%,6%,10%
IBM,Sell to Open,12/19/2025,46,345.00  $,2.48  $,2.20  $,2.77  $,28%,01/28/2026,N,306.13  $,1%,6%,12.7%
TDG,Sell to Open,12/19/2025,46,"1,450.00  $",10.45  $,7.00  $,13.90  $,46%,11/06/2025,Y,"1,309.11  $",0.8%,6%,11%
LOW,Sell to Open,12/19/2025,46,260.00  $,1.85  $,1.65  $,2.06  $,32%,11/19/2025,Y,233.44  $,1%,6%,11%
DIS,Sell to Open,12/19/2025,46,130.00  $,0.89  $,0.85  $,0.93  $,56%,11/13/2025,Y,112.20  $,1%,6%,16%
XLB,Sell to Open,12/19/2025,46,90.00  $,0.67  $,0.60  $,0.75  $,19%,,N,84.92  $,1%,6%,6%
CAT,Sell to Open,12/19/2025,46,650.00  $,4.55  $,4.20  $,4.90  $,25%,01/29/2026,N,573.75  $,1%,6%,13%
AFL,Sell to Open,12/19/2025,46,115.00  $,0.82  $,0.45  $,1.20  $,43%,11/04/2025,Y,106.33  $,1%,6%,8%
OXY,Sell to Open,12/19/2025,46,47.50  $,0.32  $,0.31  $,0.33  $,21%,11/10/2025,Y,40.90  $,1%,6%,16%
GS,Sell to Open,12/19/2025,46,880.00  $,5.97  $,5.15  $,6.80  $,19%,01/15/2026,N,790.98  $,1%,6%,11%
AAPL,Sell to Open,12/19/2025,46,290.00  $,2.03  $,2.02  $,2.05  $,16%,01/29/2026,N,267.48  $,1%,6%,8%
BHP,Sell to Open,12/19/2025,46,62.50  $,0.42  $,0.40  $,0.45  $,18%,,N,56.01  $,1%,6%,12%
KRE,Sell to Open,12/19/2025,46,67.00  $,0.44  $,0.35  $,0.54  $,21%,,N,59.58  $,1%,6%,12%
HCA,Sell to Open,12/19/2025,46,505.00  $,3.42  $,1.85  $,5.00  $,19%,01/23/2026,N,459.55  $,1%,6%,10%
BLK,Sell to Open,12/19/2025,46,"1,180.00  $",7.80  $,5.90  $,9.70  $,15%,01/14/2026,N,"1,072.20  $",1%,6%,10%
CME,Sell to Open,12/19/2025,46,280.00  $,1.92  $,0.65  $,3.20  $,27%,02/11/2026,N,262.58  $,1%,6%,7%
DEO,Sell to Open,12/19/2025,46,105.00  $,0.67  $,0.50  $,0.85  $,39%,,N,93.47  $,1%,6%,12%
AZN,Sell to Open,12/19/2025,46,90.00  $,0.58  $,0.36  $,0.81  $,27%,,N,81.68  $,1%,6%,10%
ROST,Sell to Open,12/19/2025,46,180.00  $,1.12  $,0.40  $,1.85  $,57%,11/20/2025,Y,158.82  $,1%,6%,13%
V,Sell to Open,12/19/2025,46,365.00  $,2.39  $,2.14  $,2.64  $,25%,01/27/2026,N,336.60  $,1%,6%,8%
MA,Sell to Open,12/19/2025,46,590.00  $,3.75  $,3.45  $,4.05  $,21%,01/29/2026,N,544.26  $,1%,5%,8%
IYR,Sell to Open,12/19/2025,46,98.00  $,0.65  $,0.34  $,0.97  $,9%,,N,94.26  $,1%,6%,4%
COP,Sell to Open,12/19/2025,46,100.00  $,0.61  $,0.53  $,0.70  $,24%,11/06/2025,Y,88.72  $,1%,5.5%,13%
XLY,Sell to Open,12/19/2025,46,260.00  $,1.66  $,1.42  $,1.90  $,13%,,N,242.40  $,1%,5%,7%
NOC,Sell to Open,12/19/2025,46,630.00  $,3.90  $,2.90  $,4.90  $,27%,01/29/2026,N,573.13  $,1%,5.4%,10%
COF,Sell to Open,12/19/2025,46,250.00  $,1.50  $,1.25  $,1.75  $,15%,01/20/2026,N,221.44  $,1%,5%,12.9%
XRT,Sell to Open,12/19/2025,46,88.00  $,0.54  $,0.41  $,0.69  $,22%,,N,80.72  $,1%,5%,9%
XLF,Sell to Open,12/19/2025,46,55.00  $,0.35  $,0.35  $,0.36  $,14%,,N,52.10  $,1%,5%,6%
XLK,Sell to Open,12/19/2025,46,330.00  $,2.02  $,1.41  $,2.65  $,18%,,N,302.51  $,1%,5%,9%
PNC,Sell to Open,12/19/2025,46,200.00  $,1.22  $,0.65  $,1.80  $,15%,01/16/2026,N,181.78  $,1%,5%,10%
TMO,Sell to Open,12/19/2025,46,620.00  $,3.67  $,0.55  $,6.80  $,16%,01/29/2026,N,560.97  $,1%,5.2%,11%
GLD,Sell to Open,12/19/2025,46,401.00  $,2.42  $,2.40  $,2.46  $,45%,,N,368.06  $,1%,5%,9%
SHLD,Sell to Open,12/19/2025,46,75.00  $,0.45  $,0.35  $,0.55  $,0%,,N,68.69  $,1%,5.2%,9%
TT,Sell to Open,12/19/2025,46,500.00  $,2.85  $,2.00  $,3.70  $,21%,01/29/2026,N,448.20  $,1%,5%,12%
GE,Sell to Open,12/19/2025,46,350.00  $,1.99  $,1.60  $,2.38  $,14%,01/20/2026,N,309.80  $,1%,5.1%,13%
IWM,Sell to Open,12/19/2025,46,265.00  $,1.53  $,1.52  $,1.55  $,14%,,N,244.68  $,1%,5%,8.3%
AXP,Sell to Open,12/19/2025,46,400.00  $,2.29  $,2.09  $,2.50  $,11%,01/23/2026,N,361.83  $,1%,5%,11%
MSFT,Sell to Open,12/19/2025,46,565.00  $,3.25  $,3.20  $,3.30  $,20%,01/28/2026,N,517.52  $,1%,5%,9%
HD,Sell to Open,12/19/2025,46,415.00  $,2.32  $,2.11  $,2.54  $,34%,11/18/2025,Y,374.49  $,1%,5%,11%
PEP,Sell to Open,12/19/2025,46,155.00  $,0.87  $,0.83  $,0.91  $,24%,02/03/2026,N,143.51  $,1%,5%,8%
EQIX,Sell to Open,12/19/2025,46,920.00  $,5.17  $,1.15  $,9.20  $,7%,02/11/2026,N,841.88  $,1%,5%,9%
MCD,Sell to Open,12/19/2025,46,320.00  $,1.75  $,1.66  $,1.84  $,33%,11/05/2025,Y,296.52  $,1%,5%,8%
QQQ,Sell to Open,12/19/2025,46,675.00  $,3.76  $,3.75  $,3.78  $,19%,,N,632.92  $,1%,5%,7%
VGT,Sell to Open,12/19/2025,46,870.00  $,4.70  $,3.40  $,6.00  $,21%,,N,797.88  $,1%,5%,9%
UPS,Sell to Open,12/19/2025,46,105.00  $,0.54  $,0.52  $,0.57  $,15%,02/05/2026,N,94.43  $,1%,5%,11%
LMT,Sell to Open,12/19/2025,46,525.00  $,2.82  $,2.65  $,3.00  $,22%,01/27/2026,N,485.98  $,1%,5%,8%
JPM,Sell to Open,12/19/2025,46,340.00  $,1.79  $,1.70  $,1.89  $,15%,01/13/2026,N,309.80  $,1%,4.6%,10%
KMB,Sell to Open,12/19/2025,46,120.00  $,0.57  $,0.50  $,0.65  $,29%,01/27/2026,N,103.35  $,1%,4%,16%
GD,Sell to Open,12/19/2025,46,370.00  $,1.87  $,1.25  $,2.50  $,17%,01/28/2026,N,342.61  $,1%,4%,8%
EOG,Sell to Open,12/19/2025,46,120.00  $,0.57  $,0.50  $,0.65  $,28%,11/06/2025,Y,105.72  $,1%,4%,14%
BRK/B,Sell to Open,12/19/2025,46,505.00  $,2.52  $,2.30  $,2.76  $,0%,02/21/2026,N,477.20  $,1%,4%,6%
SCHW,Sell to Open,12/19/2025,46,105.00  $,0.49  $,0.44  $,0.55  $,15%,01/21/2026,N,93.67  $,1%,4%,12.1%
C,Sell to Open,12/19/2025,46,115.00  $,0.53  $,0.50  $,0.56  $,22%,01/14/2026,N,101.00  $,1%,4%,14%
UNP,Sell to Open,12/19/2025,46,240.00  $,1.12  $,1.00  $,1.25  $,16%,01/22/2026,N,219.42  $,1%,4%,9%
QQQM,Sell to Open,12/19/2025,46,280.00  $,1.27  $,1.15  $,1.40  $,19%,,N,260.56  $,0%,4%,7%
ADP,Sell to Open,12/19/2025,46,280.00  $,1.25  $,0.95  $,1.55  $,23%,01/28/2026,N,256.32  $,0%,4%,9%
JNJ,Sell to Open,12/19/2025,46,200.00  $,0.92  $,0.85  $,0.99  $,26%,01/21/2026,N,187.22  $,0%,3.9%,7%
